URL;NAME;ADDRESS;CITY;RATINGS;ABOUT;AVG RATINGS;SERVICES;ABOUT ROOMS
https://www.tripadvisor.it/Hotel_Review-g635875-d2282227-Reviews-Casale_dei_Fornici-Polignano_a_Mare_Province_of_Bari_Puglia.html;Casale dei Fornici;Contrada Pane e Acqua;70044 Polignano a Mare, ;103;Certificato di Eccellenza;4.5;Piscina Servizio in camera Parcheggio gratuito Ristorante Bar/Lounge Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Minibar Camere non fumatori Camere per famiglie Suite
https://www.tripadvisor.it/Hotel_Review-g635875-d10607497-Reviews-B_B_Prestige-Polignano_a_Mare_Province_of_Bari_Puglia.html;B&B Prestige;Via Comito Fanelli n. 31;70044 Polignano a Mare, ;34;-;5;-;--
https://www.tripadvisor.it/Hotel_Review-g651999-d1310411-Reviews-Masseria_Serritella-Castellana_Grotte_Province_of_Bari_Puglia.html;Masseria Serritella;Via Serritella 1;70013 Castellana Grotte, ;100;Certificato di Eccellenza;4.5;Parcheggio gratuito Ristorante Piscina Bar/Lounge Internet ad alta velocità gratuito (WiFi) Colazione inclusa Servizio in camera Centro congressi con accesso a Internet ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Minibar Camere non fumatori Camere per famiglie Suite
https://www.tripadvisor.it/Hotel_Review-g1077046-d1737525-Reviews-La_Camera_Ducale-Gravina_in_Puglia_Province_of_Bari_Puglia.html;La Camera Ducale;Via Guardialto s.p. 201 Km 2,5;70024 Gravina in Puglia, ;584;;4;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Ristorante Bar/Lounge Spa Colazione inclusa Accessibile in sedia a rotelle Animali domestici ammessi ;Caratteristiche delle camere Suite 
https://www.tripadvisor.it/Hotel_Review-g652003-d4324882-Reviews-B_B_Donna_Nina-Monopoli_Province_of_Bari_Puglia.html;B&B Donna Nina;Via Perrini 4;70043, Monopoli, ;65;-;5;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Accessibile in sedia a rotelle Hotel non fumatori Servizio navetta Trasporti per l'aeroporto Wi-Fi pubblico ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Camere non fumatori
https://www.tripadvisor.it/Hotel_Review-g580227-d1202297-Reviews-Villaggio_Camping_Bosco_Selva-Alberobello_Province_of_Bari_Puglia.html;Villaggio Camping Bosco Selva;Contrada Bosco Selva, 27;70011, Alberobello, ;111;-;4.5;Parcheggio gratuito Bar/Lounge Internet ad alta velocità gratuito (WiFi) Accessibile in sedia a rotelle Animali domestici ammessi Campo da tennis Hotel non fumatori Trasporti per l'aeroporto ;Caratteristiche delle camere Aria condizionataCamere per famiglie Cucinino
https://www.tripadvisor.it/Hotel_Review-g580227-d572494-Reviews-Grand_Hotel_La_Chiusa_di_Chietri-Alberobello_Province_of_Bari_Puglia.html;Grand Hotel La Chiusa di Chietri;Strada Statale 172 Dei Trulli Km 29.8;70011, Alberobello, ;1176;-;4;Ristorante Piscina Servizio in camera Parcheggio gratuito Internet gratis Bar/Lounge Spa Colazione inclusa ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite
https://www.tripadvisor.it/Hotel_Review-g635875-d1539269-Reviews-Vingt_Sept_Bed_and_Breakfast-Polignano_a_Mare_Province_of_Bari_Puglia.html;Vingt Sept Bed and Breakfast;Via Giacomo Matteotti 29;70044 Polignano a Mare, ;97;Certificato di Eccellenza;4.5;Parcheggio gratuito Bar/Lounge Internet ad alta velocità gratuito (WiFi) Colazione inclusa Spa Hotel non fumatori Servizio navetta Trasporti per l'aeroporto ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Camere non fumatori Cucinino
https://www.tripadvisor.it/Hotel_Review-g1028921-d6509511-Reviews-Bed_and_Breakfast_La_Cattedrale-Ruvo_Di_Puglia_Province_of_Bari_Puglia.html;Bed and Breakfast La Cattedrale;Via Zuppetta, 17;70037 Ruvo Di Puglia, ;53;-;5;Parcheggio gratuito Internet ad alta velocità gratuito (WiFi) Colazione inclusa Animali domestici ammessi Hotel non fumatori Wi-Fi pubblico ;Caratteristiche delle camere Aria condizionata Frigorifero in camera Camere non fumatori Camere per famiglie Camere per fumatori Cucinino Suite
https://www.tripadvisor.it/Hotel_Review-g187874-d2429188-Reviews-Parco_Dei_Principi_Hotel_Congress_Spa-Bari_Province_of_Bari_Puglia.html;Parco Dei Principi Hotel Congress & Spa;Prolungamento Viale Europa, 6;70128, Bari, ;1187;Certificato di Eccellenza;4;Piscina Servizio in camera Parcheggio gratuito Ristorante Bar/Lounge Spa Internet ad alta velocità gratuito (WiFi) Colazione inclusa ;Aria condizionata Minibar Camere con accesso per disabili Camere non fumatori Camere per famiglie Suite 
